,platformId,gameId,champion,queue,season,timestamp,role,lane,name,account ID
0,EUW1,4842099510,64,400,13,1601393205994,DUO_SUPPORT,TOP,Jeskla,Coz3xnh0cvuM1w_3RCjPOnxorcRrvR7jNJ1GGasOMbkic0c0pKjeT09S
2,EUW1,4842061169,104,400,13,1601389988380,NONE,JUNGLE,Jeskla,Coz3xnh0cvuM1w_3RCjPOnxorcRrvR7jNJ1GGasOMbkic0c0pKjeT09S
3,EUW1,4437068133,110,400,13,1583181522333,DUO_CARRY,MID,Jeskla,Coz3xnh0cvuM1w_3RCjPOnxorcRrvR7jNJ1GGasOMbkic0c0pKjeT09S
4,EUW1,4436995638,104,400,13,1583179749583,NONE,JUNGLE,Jeskla,Coz3xnh0cvuM1w_3RCjPOnxorcRrvR7jNJ1GGasOMbkic0c0pKjeT09S
5,EUW1,5224695665,11,400,13,1619035149635,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
6,EUW1,5224528165,17,400,13,1619032430782,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
7,EUW1,5221181102,17,430,13,1618864558064,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
8,EUW1,5221104051,17,430,13,1618862890242,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
9,EUW1,5218626525,17,400,13,1618758318698,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
10,EUW1,5205753572,17,400,13,1618170626310,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
11,EUW1,5205458357,17,400,13,1618168684767,DUO_CARRY,BOTTOM,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
12,EUW1,5204622359,17,400,13,1618147161812,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
15,EUW1,5203654032,17,400,13,1618085598888,DUO,MID,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
16,EUW1,5201767541,17,400,13,1618004447048,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
21,EUW1,5197207115,17,400,13,1617808357245,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
22,EUW1,5197181038,17,400,13,1617806058323,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
23,EUW1,5197111955,17,400,13,1617802482700,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
24,EUW1,5193265260,17,400,13,1617642357987,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
25,EUW1,5193096543,17,400,13,1617639298375,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
26,EUW1,5192551860,17,440,13,1617615230536,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
27,EUW1,5179133966,17,400,13,1617024565214,DUO_CARRY,MID,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
28,EUW1,5179038621,17,400,13,1617022726149,SOLO,MID,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
30,EUW1,5178965393,17,400,13,1617020026546,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
31,EUW1,5178942535,17,400,13,1617018071101,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
32,EUW1,5178809281,17,400,13,1617016138098,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
33,EUW1,5177952015,17,400,13,1616960738400,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
34,EUW1,5175991691,17,400,13,1616879093668,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
35,EUW1,5175922672,17,400,13,1616876534410,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
37,EUW1,5175803284,17,400,13,1616873178757,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
38,EUW1,5175688792,17,400,13,1616871248482,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
39,EUW1,5175701243,17,400,13,1616868516700,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
40,EUW1,5175394393,17,400,13,1616858427865,DUO,BOTTOM,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
42,EUW1,5168262684,17,400,13,1616517653399,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
45,EUW1,5166633726,17,400,13,1616435791778,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
46,EUW1,5166168686,17,400,13,1616426272378,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
47,EUW1,5165978394,17,400,13,1616422571510,DUO,MID,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
48,EUW1,5162015387,17,400,13,1616255568827,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
49,EUW1,5159986264,54,420,13,1616167017379,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
50,EUW1,5157942459,14,420,13,1616067394056,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
51,EUW1,5154830103,51,400,13,1615926180818,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
52,EUW1,5154753239,54,400,13,1615923521812,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
53,EUW1,5154635615,17,400,13,1615920983222,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
54,EUW1,5154150927,22,400,13,1615903941089,DUO_CARRY,BOTTOM,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
55,EUW1,5152009272,17,400,13,1615820001795,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
56,EUW1,5151812077,17,400,13,1615810507765,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
57,EUW1,5151032958,17,400,13,1615755017046,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
58,EUW1,5150848144,17,400,13,1615752871354,DUO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
59,EUW1,5150130669,11,400,13,1615734358903,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
60,EUW1,5150052378,11,400,13,1615731903902,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
61,EUW1,5149805214,69,420,13,1615725139105,DUO_CARRY,MID,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
62,EUW1,5148672430,120,400,13,1615671300235,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
63,EUW1,5148561808,14,400,13,1615668534811,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
64,EUW1,5148396369,54,420,13,1615666354913,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
65,EUW1,5147867083,516,420,13,1615655680602,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
66,EUW1,5147817352,106,420,13,1615652977149,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
67,EUW1,5147419254,54,420,13,1615645521966,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
68,EUW1,5147443146,516,420,13,1615643297416,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
69,EUW1,5147191691,54,420,13,1615633755592,SOLO,MID,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
70,EUW1,5146999576,36,420,13,1615631527002,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
71,EUW1,5146137361,9,400,13,1615578133754,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
72,EUW1,5146102732,9,400,13,1615576209281,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
73,EUW1,5146006100,69,420,13,1615573713968,SOLO,MID,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
74,EUW1,5145846732,69,420,13,1615570058461,SOLO,MID,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
75,EUW1,5145751828,69,420,13,1615564667378,DUO_CARRY,BOTTOM,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
76,EUW1,5145595011,81,420,13,1615561623477,DUO_CARRY,BOTTOM,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
77,EUW1,5145560681,86,420,13,1615559150802,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
78,EUW1,5144356299,164,400,13,1615492442590,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
79,EUW1,5143729187,164,400,13,1615474679418,DUO,MID,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
80,EUW1,5143684934,31,400,13,1615472262505,DUO,MID,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
81,EUW1,5143558216,83,420,13,1615469198055,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
82,EUW1,5143612801,54,420,13,1615466848917,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
83,EUW1,5143427986,54,420,13,1615463707863,DUO,MID,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
84,EUW1,5143371568,17,420,13,1615458526461,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
85,EUW1,5142533011,164,400,13,1615401436155,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
86,EUW1,5142407766,164,400,13,1615399204641,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
87,EUW1,5141939616,54,420,13,1615387825025,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
89,EUW1,5141590275,106,420,13,1615377733377,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
90,EUW1,5141510125,106,420,13,1615370811540,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
91,EUW1,5140812582,36,400,13,1615317802004,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
92,EUW1,5140754245,106,400,13,1615315234005,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
93,EUW1,5140649498,106,400,13,1615313386215,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
94,EUW1,5140644807,86,420,13,1615311707270,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
95,EUW1,5140446872,54,420,13,1615304445737,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
96,EUW1,5140378796,54,420,13,1615301070531,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
97,EUW1,5139899606,54,420,13,1615290233198,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
98,EUW1,5139833592,54,420,13,1615285420934,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
99,EUW1,5139207724,516,420,13,1615237705710,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
100,EUW1,5139084856,54,420,13,1615234161700,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
101,EUW1,5138959069,54,420,13,1615232388852,SOLO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
102,EUW1,5138907094,32,420,13,1615229080459,NONE,JUNGLE,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
103,EUW1,5138792863,54,420,13,1615224271480,DUO,TOP,Promisq,GwrgFEZCIZsoOyaJIkDytATxtVrJC0HPv-7z1YjU27FXYj0
105,EUW1,5177731754,44,420,13,1616954200821,DUO_SUPPORT,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
106,EUW1,5177712650,45,420,13,1616952108830,DUO_CARRY,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
107,EUW1,5177587985,45,420,13,1616950087780,DUO_CARRY,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
108,EUW1,5160435806,875,400,13,1616184959004,DUO_SUPPORT,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
109,EUW1,5160318817,117,400,13,1616182599824,DUO_SUPPORT,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
110,EUW1,5160371606,161,400,13,1616180283751,DUO_SUPPORT,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
111,EUW1,5129454503,48,420,13,1614798897900,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
112,EUW1,5129339519,30,420,13,1614797323104,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
113,EUW1,5129384263,35,420,13,1614795625756,DUO_SUPPORT,TOP,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
114,EUW1,5129238736,9,420,13,1614793648456,DUO_SUPPORT,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
115,EUW1,5129232629,11,420,13,1614791507934,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
116,EUW1,5129127729,77,420,13,1614789629625,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
117,EUW1,5128710827,120,420,13,1614765894992,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
118,EUW1,5127589693,54,420,13,1614718485898,SOLO,TOP,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
119,EUW1,5127572625,122,420,13,1614716412676,SOLO,TOP,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
120,EUW1,5127346267,98,420,13,1614714675066,SOLO,TOP,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
121,EUW1,5127166265,27,420,13,1614711907543,SOLO,TOP,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
123,EUW1,5127005652,27,420,13,1614708226911,SOLO,TOP,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
124,EUW1,5126920604,31,420,13,1614702865423,SOLO,TOP,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
125,EUW1,5126815346,77,420,13,1614700856413,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
127,EUW1,5126684482,777,420,13,1614695762186,SOLO,MID,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
128,EUW1,5126629412,18,420,13,1614693839632,DUO_CARRY,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
130,EUW1,5126592862,497,420,13,1614690064651,DUO_SUPPORT,MID,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
131,EUW1,5125637309,111,420,13,1614626184954,DUO_SUPPORT,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
132,EUW1,5125579848,432,420,13,1614623963719,DUO_SUPPORT,MID,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
133,EUW1,5125565383,432,420,13,1614622389913,DUO_SUPPORT,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
135,EUW1,5122180720,38,450,13,1614465633408,DUO,TOP,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
136,EUW1,5120733034,555,420,13,1614394961283,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
138,EUW1,5120590098,234,420,13,1614391264191,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
139,EUW1,5120576954,32,420,13,1614388498014,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
140,EUW1,5120564369,875,420,13,1614386357066,DUO_SUPPORT,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
141,EUW1,5120470311,35,420,13,1614384411238,DUO_SUPPORT,MID,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
143,EUW1,5120389426,526,420,13,1614380802032,DUO_SUPPORT,MID,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
144,EUW1,5120372453,432,420,13,1614378633835,DUO_SUPPORT,MID,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
145,EUW1,5120333369,412,420,13,1614376301295,DUO_SUPPORT,MID,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
146,EUW1,5120245530,53,420,13,1614374249023,DUO_SUPPORT,MID,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
147,EUW1,5119956867,432,420,13,1614371682377,DUO_SUPPORT,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
148,EUW1,5119821933,432,420,13,1614369883745,DUO_SUPPORT,MID,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
149,EUW1,5119432184,432,420,13,1614359935749,DUO_SUPPORT,TOP,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
150,EUW1,5119366076,432,420,13,1614357865936,DUO_SUPPORT,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
151,EUW1,5118962805,27,420,13,1614338553378,DUO_SUPPORT,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
152,EUW1,5117962363,53,420,13,1614276812877,DUO_SUPPORT,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
153,EUW1,5117896113,432,420,13,1614274917758,SOLO,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
154,EUW1,5117769629,412,420,13,1614272451299,DUO_SUPPORT,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
155,EUW1,5115956307,18,420,13,1614190027528,DUO_CARRY,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
156,EUW1,5115918056,29,420,13,1614187352210,DUO_CARRY,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
158,EUW1,5115499810,235,420,13,1614171325911,DUO_CARRY,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
159,EUW1,5115525654,145,420,13,1614169174419,DUO_CARRY,BOTTOM,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
160,EUW1,5110130652,64,420,13,1613929798606,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
162,EUW1,5109927593,20,420,13,1613925969856,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
163,EUW1,5108344704,77,420,13,1613856763107,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
164,EUW1,5108305123,20,420,13,1613854435224,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
166,EUW1,5106051772,11,420,13,1613763485019,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
167,EUW1,5105915386,2,420,13,1613761387872,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
168,EUW1,5105778876,64,420,13,1613759147597,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
169,EUW1,5105831867,35,420,13,1613756920869,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
170,EUW1,5105736142,77,420,13,1613754993921,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
171,EUW1,5105660314,36,420,13,1613753029767,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
172,EUW1,5105654097,20,420,13,1613750906250,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
173,EUW1,5105528905,77,420,13,1613749022783,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
174,EUW1,5103673948,36,420,13,1613663729528,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
175,EUW1,5103588253,36,420,13,1613661731173,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
176,EUW1,5101447364,77,420,13,1613582809270,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
177,EUW1,5101388907,72,420,13,1613580577481,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
178,EUW1,5101303136,77,420,13,1613577892009,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
179,EUW1,5100509369,77,420,13,1613520910571,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
180,EUW1,5100505421,36,420,13,1613518807588,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
181,EUW1,5100479999,72,420,13,1613517105879,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
182,EUW1,5100414997,72,420,13,1613514875158,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
183,EUW1,5100248079,72,420,13,1613509845843,NONE,JUNGLE,WhiteKnight,GbOI_GQcCaRONjQMqn1ys3qdswr4aOsadHx0mN4amm4HTQ
